SurveyName,Timestamp,email,In which country do you currently reside?,Country CODE,Select the title most similar to your current role,How would you rate your expertise in these languages [Python],How would you rate your expertise in these languages [R],How would you rate your expertise in these languages [SQL],How would you rate your expertise in these languages [C],How would you rate your expertise in these languages [C++],How would you rate your expertise in these languages [Java],How would you rate your expertise in these languages [Javascript],How would you rate your expertise in these languages [Panda],How would you rate your expertise in these languages [Bash],How would you rate your expertise in these languages [MATLAB],How would you rate your expertise in these languages [Other],How would you rate your overall analytics expertise?,"Which of the following big data products (relational databases, data warehouses, data lakes, or similar) do you use on a regular basis?",Have you realized these types of initiatives in these platforms? [Data Warehouse],Have you realized these types of initiatives in these platforms? [Data Lakes],Have you realized these types of initiatives in these platforms? [ML/AI],Have you realized these types of initiatives in these platforms? [Data Preparation],Have you realized these types of initiatives in these platforms? [ETL],Have you realized these types of initiatives in these platforms? [Data Onboarding]
ANALYTICS SURVEY FSI,2020-08-24 11:37:41,pdemare5c@apple.com,China,CN,Data Analyst,beginner,proficient,beginner,none,proficient,proficient,none,competent,proficient,proficient,expert,2,Google Cloud BigQuery,Azure,AWS;Azure,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS",On-premise;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-10-23 09:19:44,mmilesop5d@4shared.com,Japan,JP,Data Scientist,expert,none,proficient,beginner,competent,beginner,none,beginner,beginner,beginner,none,3,Oracle Database,Azure,Azure,Azure,On-premise,On-premise,On-premise;Azure
ANALYTICS SURVEY FSI,2020-07-02 11:23:54,asavary5e@guardian.co.uk,China,CN,Physicist,none,competent,none,competent,proficient,proficient,expert,expert,none,competent,proficient,4,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Azure,Google Cloud;AWS;Azure,Azure,"Google Cloud;On-premise,AWS",On-premise;AWS
ANALYTICS SURVEY JAN-21,2020-09-28 00:18:07,aayre5f@wired.com,Indonesia,ID,Physicist,beginner,expert,beginner,expert,none,proficient,none,beginner,beginner,beginner,proficient,5,Amazon Redshift;Teradata,Azure,Google Cloud;AWS,Google Cloud;Azure,AWS;Azure,"Google Cloud;On-premise,AWS",Google Cloud;On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-06-05 12:48:03,mocosgra5g@1und1.de,Russia,RU,Citizen Data Scientist,proficient,proficient,none,beginner,beginner,proficient,none,proficient,none,expert,beginner,4,Oracle Database,Azure,Google Cloud;Azure,AWS,Google Cloud;On-premise;Azure,On-premise;Azure,Google Cloud
ANALYTICS SURVEY,2020-09-18 21:38:15,gwand5h@com.com,China,CN,Data Scientist,proficient,proficient,competent,expert,none,none,none,none,expert,none,none,5,Teradata,Azure,Azure,AWS,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,On-premise
ANALYTICS SURVEY RETAIL,2020-03-01 21:21:11,vperch5i@oracle.com,China,CN,Data Scientist,expert,competent,proficient,beginner,expert,proficient,none,expert,beginner,expert,competent,5,Google Cloud BigQuery,On-premise,Google Cloud,AWS Azure,Google Cloud;AWS;Azure,Google Cloud,Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-06-22 15:32:58,hsnarie5j@mediafire.com,Cuba,CU,Physicist,competent,none,proficient,expert,none,proficient,competent,competent,expert,expert,expert,4,Teradata,On-premise,Google Cloud;AWS,AWS Azure,Google Cloud;On-premise;Azure,On-premise;AWS,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-04-10 16:16:44,cfarron5k@mit.edu,China,CN,Data Analyst,expert,none,beginner,proficient,expert,beginner,proficient,proficient,expert,none,competent,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,AWS,Google Cloud;Azure,Google Cloud;AWS,On-premise;AWS,"Google Cloud;On-premise,AWS",Google Cloud;On-premise;Azure
ANALYTICS SURVEY,2020-07-12 04:38:53,sbrayn5l@ft.com,China,CN,Physicist,competent,none,competent,competent,expert,proficient,expert,proficient,expert,competent,proficient,1,Teradata,AWS,Google Cloud,Azure,"Google Cloud;On-premise,AWS",Google Cloud,On-premise
ANALYTICS SURVEY FSI,2020-11-23 08:41:50,tjoiner5m@gov.uk,China,CN,Mathematician,expert,competent,expert,expert,proficient,none,proficient,proficient,none,beginner,none,4,Microsoft SQL Server,Azure,AWS,Google Cloud;Azure,"Google Cloud;On-premise,AWS",On-premise;Azure,Azure
ANALYTICS SURVEY,2020-03-28 14:12:37,kogormally5n@biblegateway.com,Poland,PL,Data Scientist,competent,beginner,beginner,proficient,proficient,beginner,proficient,expert,none,none,beginner,3,Amazon Redshift;Teradata,Azure,AWS;Azure,Azure,On-premise;Azure,AWS,AWS;Azure
ANALYTICS SURVEY,2020-01-20 16:18:23,alyons5o@smugmug.com,Vietnam,VN,Mathematician,expert,expert,beginner,none,proficient,none,proficient,proficient,proficient,proficient,competent,3,Microsoft SQL Server,Google Cloud,Google Cloud,Google Cloud,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS",Google Cloud
ANALYTICS SURVEY RETAIL,2020-03-12 18:15:24,mmashro5p@icq.com,Philippines,PH,Mathematician,expert,beginner,competent,competent,none,proficient,none,proficient,none,none,competent,5,Oracle Database,AWS,Azure,Google Cloud;Azure,On-premise;AWS,Google Cloud;On-premise;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY RETAIL,2020-01-24 10:53:59,datlay5q@foxnews.com,Yemen,YE,Data Analyst,none,beginner,competent,none,proficient,none,expert,expert,none,expert,none,4,Google Cloud BigQuery,Azure,Google Cloud;Azure,Azure,Google Cloud;On-premise;Azure,Google Cloud;AWS;Azure,Azure
ANALYTICS SURVEY JAN-21,2020-04-01 19:57:23,nlovart5r@posterous.com,Mongolia,MN,Statistician,none,expert,proficient,competent,competent,expert,competent,proficient,beginner,proficient,proficient,2,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud;AWS;Azure,Google Cloud;Azure,On-premise;Azure,"Google Cloud;On-premise,AWS",Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-04-09 17:48:50,rpayton5s@elegantthemes.com,United States,US,Mathematician,none,proficient,competent,proficient,expert,proficient,competent,none,beginner,none,beginner,1,Amazon Redshift;Teradata,Azure,Google Cloud;Azure,AWS Azure,Google Cloud,"Google Cloud;On-premise,AWS",On-premise;Azure
ANALYTICS SURVEY FSI,2020-01-27 13:39:11,mmoff5t@loc.gov,Russia,RU,Mathematician,beginner,beginner,beginner,proficient,competent,expert,competent,proficient,beginner,expert,none,1,Oracle Database,Azure,Google Cloud;AWS,Google Cloud;Azure,On-premise;Azure,On-premise;AWS,Azure
ANALYTICS SURVEY FEB-21,2020-06-17 09:27:42,alicas5u@etsy.com,Indonesia,ID,Citizen Data Scientist,expert,beginner,none,proficient,proficient,none,competent,proficient,competent,competent,none,3,Oracle Database,Azure,AWS,Google Cloud;AWS,On-premise;AWS,On-premise;AWS,Azure
ANALYTICS SURVEY RETAIL,2020-03-19 08:48:55,bmcmurdo5v@vinaora.com,Russia,RU,Data Scientist,none,proficient,expert,expert,beginner,competent,proficient,beginner,none,proficient,proficient,4,Amazon Redshift;Teradata,On-premise,Google Cloud;Azure,AWS Azure,AWS,Google Cloud;On-premise;Azure,AWS
ANALYTICS SURVEY FEB-21,2020-02-15 15:19:22,dwisdom5w@51.la,Colombia,CO,Physicist,beginner,competent,beginner,none,proficient,none,competent,beginner,competent,none,none,3,Amazon Redshift,Azure,Google Cloud;Azure,AWS,On-premise;Azure,AWS,Azure
ANALYTICS SURVEY FEB-21,2020-01-19 03:15:27,kyerrington5x@nytimes.com,Sweden,SE,Data Engineer,expert,expert,beginner,expert,none,beginner,expert,expert,competent,competent,proficient,4,Microsoft SQL Server,Azure,Azure,Azure,Google Cloud,AWS;Azure,On-premise
ANALYTICS SURVEY,2020-02-18 06:50:27,mjaneczek5y@com.com,Peru,PE,Citizen Data Scientist,expert,proficient,proficient,competent,none,expert,competent,beginner,proficient,expert,proficient,2,Amazon Redshift;Teradata,On-premise,AWS;Azure,Google Cloud,Google Cloud,On-premise,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FSI,2020-12-06 13:46:31,lcocozza5z@marriott.com,Poland,PL,Data Analyst,beginner,expert,competent,competent,competent,none,proficient,none,competent,proficient,competent,5,Microsoft SQL Server,AWS,Azure,AWS Azure,Azure,AWS,On-premise
ANALYTICS SURVEY FSI,2020-11-03 10:26:17,mjacox60@over-blog.com,Vietnam,VN,Citizen Data Scientist,none,competent,beginner,competent,expert,competent,beginner,competent,expert,expert,none,1,Amazon Redshift;Teradata,Azure,AWS;Azure,Azure,Google Cloud;AWS;Azure,On-premise;AWS,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-11-27 08:01:22,cjent61@sfgate.com,Philippines,PH,Data Scientist,competent,beginner,beginner,competent,competent,beginner,expert,none,expert,none,none,3,Google Cloud BigQuery,On-premise,AWS,Azure,Google Cloud;On-premise;Azure,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FEB-21,2020-11-16 22:00:34,qpulham62@un.org,China,CN,Statistician,beginner,competent,expert,beginner,proficient,competent,competent,beginner,proficient,competent,none,2,Teradata,AWS,Google Cloud,AWS Azure,On-premise,AWS,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-07-29 19:18:31,btarte63@army.mil,Indonesia,ID,Mathematician,none,beginner,none,proficient,proficient,competent,competent,proficient,proficient,competent,none,2,Microsoft SQL Server,AWS,AWS;Azure,AWS Azure,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-04-23 08:43:19,aodgers64@histats.com,Greece,GR,Citizen Data Scientist,,expert,proficient,,competent,beginner,beginner,expert,,none,expert,,Microsoft SQL Server,Google Cloud,Azure,,On-premise;Azure,,On-premise;AWS
ANALYTICS SURVEY FEB-21,2020-08-22 10:23:29,lwebbe65@tripadvisor.com,Indonesia,ID,Citizen Data Scientist,expert,expert,beginner,competent,expert,proficient,proficient,competent,competent,beginner,expert,3,Microsoft SQL Server,AWS,Google Cloud,Azure,Google Cloud;On-premise;Azure,On-premise;AWS,Azure
ANALYTICS SURVEY FEB-21,2020-11-22 16:37:32,cyule66@samsung.com,France,FR,Data Analyst,none,none,proficient,none,expert,competent,proficient,none,expert,none,expert,3,Google Cloud BigQuery,Google Cloud,Google Cloud;Azure,Google Cloud,Google Cloud;On-premise;Azure,On-premise,AWS;Azure
ANALYTICS SURVEY FSI,2020-09-13 15:28:00,gshenfish67@wsj.com,Bolivia,BO,Statistician,competent,competent,beginner,proficient,proficient,beginner,none,competent,none,beginner,expert,5,Google Cloud BigQuery,On-premise,Google Cloud;Azure,Google Cloud;AWS;Azure,AWS,On-premise;AWS,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY RETAIL,2020-08-03 06:31:40,khitcham68@blinklist.com,Russia,RU,Data Engineer,beginner,proficient,competent,none,none,expert,competent,beginner,competent,proficient,competent,2,Microsoft SQL Server,On-premise,Google Cloud;AWS,Azure,Google Cloud,"Google Cloud;On-premise,AWS",AWS
ANALYTICS SURVEY FSI,2020-01-24 02:05:11,sforster69@blog.com,China,CN,Data Analyst,proficient,beginner,competent,none,expert,competent,proficient,beginner,competent,beginner,beginner,4,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud,Google Cloud;AWS,Google Cloud;AWS;Azure,AWS,On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-11-25 04:19:22,mwhittington6a@umn.edu,Panama,PA,Citizen Data Scientist,beginner,competent,beginner,expert,proficient,expert,proficient,expert,expert,none,expert,1,Oracle Database,On-premise,Azure,Google Cloud,Google Cloud;On-premise;Azure,AWS,On-premise
ANALYTICS SURVEY FSI,2020-03-05 21:45:13,mmagnay6b@dot.gov,Czech Republic,CZ,Data Scientist,proficient,beginner,proficient,beginner,none,competent,expert,competent,proficient,competent,beginner,5,Amazon Redshift,On-premise,Azure,AWS,AWS,Google Cloud,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY,2020-02-02 19:23:56,kwoolliams6c@berkeley.edu,China,CN,Physicist,proficient,competent,none,proficient,beginner,none,expert,expert,expert,proficient,beginner,3,Amazon Redshift;Teradata,Google Cloud,Azure,AWS,On-premise,AWS;Azure,Google Cloud
ANALYTICS SURVEY FSI,2020-09-17 01:50:31,asuckling6d@imgur.com,Slovenia,SI,Physicist,expert,expert,none,beginner,none,beginner,none,none,beginner,none,competent,1,Google Cloud BigQuery,On-premise,Google Cloud;AWS;Azure,Google Cloud,AWS,On-premise,On-premise;Azure
ANALYTICS SURVEY FSI,2020-05-27 18:21:07,tfritchly6e@pagesperso-orange.fr,Philippines,PH,Physicist,proficient,none,competent,proficient,beginner,competent,proficient,expert,expert,beginner,proficient,5,Google Cloud BigQuery,Google Cloud,AWS;Azure,Google Cloud;Azure,Google Cloud,"Google Cloud;On-premise,AWS",Azure
ANALYTICS SURVEY FSI,2020-08-02 09:13:35,eobradain6f@surveymonkey.com,Indonesia,ID,Data Scientist,competent,competent,competent,none,competent,beginner,expert,expert,none,expert,expert,3,Google Cloud BigQuery,Google Cloud,Google Cloud;AWS,Azure,Azure,AWS;Azure,Google Cloud
ANALYTICS SURVEY JAN-21,2020-09-10 22:21:54,jlaird6g@ning.com,China,CN,Citizen Data Scientist,,beginner,expert,,expert,competent,none,competent,,competent,none,,Microsoft SQL Server,Google Cloud,Azure,,On-premise;AWS,,Google Cloud;AWS;Azure
ANALYTICS SURVEY RETAIL,2020-09-10 04:13:18,ahibbart6h@live.com,China,CN,Data Engineer,beginner,competent,beginner,competent,none,proficient,none,proficient,competent,none,proficient,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,Google Cloud,Azure,On-premise,Google Cloud;On-premise;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY JAN-21,2020-03-01 17:08:36,jgunthorp6i@washington.edu,France,FR,Citizen Data Scientist,competent,beginner,beginner,proficient,expert,proficient,proficient,beginner,competent,expert,competent,5,Google Cloud BigQuery,On-premise,AWS,Google Cloud;Azure,Azure,On-premise;AWS,On-premise;AWS
ANALYTICS SURVEY RETAIL,2020-08-24 00:14:43,smachent6j@nyu.edu,Venezuela,VE,Data Analyst,none,proficient,beginner,expert,proficient,expert,expert,beginner,proficient,none,beginner,4,Amazon Redshift,On-premise,Azure,AWS Azure,Google Cloud;AWS;Azure,AWS;Azure,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-10-18 23:09:20,anappin6k@comsenz.com,Mexico,MX,Statistician,expert,none,competent,competent,beginner,expert,proficient,none,beginner,expert,competent,1,Amazon Redshift,AWS,Azure,Google Cloud;AWS;Azure,AWS;Azure,Google Cloud;AWS;Azure,Google Cloud;AWS;Azure
ANALYTICS SURVEY,2020-03-19 06:44:42,mcomrie6l@exblog.jp,Serbia,RS,Statistician,proficient,none,competent,beginner,expert,none,none,beginner,none,competent,beginner,2,Google Cloud BigQuery,Azure,Google Cloud,AWS,Azure,On-premise;AWS,AWS
ANALYTICS SURVEY RETAIL,2020-01-18 07:25:31,aziemsen6m@google.co.uk,Saudi Arabia,SA,Citizen Data Scientist,proficient,none,competent,beginner,none,none,proficient,proficient,expert,competent,competent,2,Amazon Redshift,AWS,Azure,Google Cloud;AWS;Azure,AWS,Google Cloud,Google Cloud;On-premise;Azure
ANALYTICS SURVEY RETAIL,2020-08-09 23:09:57,nmoxted6n@wufoo.com,Poland,PL,Data Scientist,beginner,none,none,none,competent,expert,none,proficient,competent,competent,expert,4,Amazon Redshift;Teradata,On-premise,Google Cloud;AWS;Azure,Azure,Google Cloud;On-premise;Azure,"Google Cloud;On-premise,AWS",AWS
ANALYTICS SURVEY RETAIL,2020-02-07 18:34:39,sburgher6o@woothemes.com,Morocco,MA,Physicist,beginner,competent,proficient,beginner,none,none,none,proficient,competent,competent,proficient,4,Amazon Redshift,AWS,AWS;Azure,Azure,Azure,On-premise;Azure,On-premise;AWS
ANALYTICS SURVEY RETAIL,2020-02-14 00:39:15,hsomersett6p@tiny.cc,Indonesia,ID,Data Scientist,none,competent,proficient,beginner,competent,none,expert,competent,beginner,expert,competent,3,Oracle Database,On-premise,Google Cloud;AWS,AWS,Azure,Azure,AWS;Azure
ANALYTICS SURVEY JAN-21,2020-10-17 11:48:53,fpicot6q@gmpg.org,Czech Republic,CZ,Citizen Data Scientist,none,beginner,none,expert,beginner,expert,proficient,expert,none,expert,beginner,4,Amazon Redshift,Google Cloud,Google Cloud,Google Cloud,On-premise;AWS,On-premise,AWS;Azure
ANALYTICS SURVEY JAN-21,2020-11-03 19:51:46,galthrop6r@dedecms.com,Thailand,TH,Statistician,proficient,proficient,expert,expert,competent,expert,competent,beginner,none,beginner,beginner,2,Microsoft SQL Server,AWS,Azure,Google Cloud,On-premise,"Google Cloud;On-premise,AWS",Google Cloud
ANALYTICS SURVEY FEB-21,2020-07-02 10:37:26,sroyan6s@alexa.com,Togo,TG,Statistician,proficient,none,expert,none,competent,none,proficient,beginner,proficient,expert,expert,2,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Azure,Google Cloud;AWS,AWS,On-premise;Azure,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-04-03 20:25:43,mgiraudy6t@globo.com,Nepal,NP,Physicist,beginner,proficient,beginner,proficient,proficient,none,expert,proficient,expert,expert,competent,4,Teradata,On-premise,Google Cloud,Google Cloud;AWS,AWS;Azure,On-premise,Google Cloud;AWS;Azure
ANALYTICS SURVEY JAN-21,2020-01-19 23:26:38,twhichelow6u@tripadvisor.com,Indonesia,ID,Citizen Data Scientist,proficient,none,beginner,beginner,none,competent,competent,proficient,proficient,competent,competent,2,Teradata,AWS,Azure,Google Cloud;Azure,AWS;Azure,On-premise;AWS,AWS;Azure
ANALYTICS SURVEY,2020-07-20 17:10:08,cstit6v@delicious.com,Bulgaria,BG,Data Engineer,beginner,beginner,proficient,proficient,beginner,competent,expert,beginner,none,beginner,expert,4,Amazon Redshift;Teradata,AWS,Google Cloud;AWS,Google Cloud;Azure,On-premise;Azure,"Google Cloud;On-premise,AWS",On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-02-17 17:37:42,ebisatt6w@fastcompany.com,Portugal,PT,Citizen Data Scientist,,competent,none,,expert,none,none,none,,proficient,none,,Oracle Database,AWS,Google Cloud;AWS,,"Google Cloud;On-premise,AWS",,AWS
ANALYTICS SURVEY FEB-21,2020-11-26 22:02:33,oort6x@tamu.edu,Indonesia,ID,Statistician,expert,beginner,proficient,competent,competent,none,beginner,none,none,expert,expert,5,Amazon Redshift,Azure,Google Cloud;Azure,Google Cloud;AWS,Google Cloud;AWS;Azure,AWS;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-07-23 21:21:22,bfitchen6y@github.io,Zimbabwe,ZW,Statistician,competent,expert,expert,none,expert,beginner,proficient,beginner,none,none,proficient,3,Amazon Redshift;Teradata,AWS,AWS,Google Cloud;Azure,"Google Cloud;On-premise,AWS",Google Cloud,AWS
ANALYTICS SURVEY RETAIL,2020-01-27 12:21:31,dmonger6z@washington.edu,Chile,CL,Mathematician,beginner,none,proficient,proficient,competent,expert,expert,proficient,proficient,expert,none,5,Teradata,AWS,Google Cloud;AWS;Azure,Google Cloud,Google Cloud,Azure,Google Cloud
ANALYTICS SURVEY RETAIL,2020-11-20 08:33:30,dwhittlesea70@earthlink.net,Guatemala,GT,Data Analyst,beginner,none,competent,competent,none,expert,beginner,competent,competent,beginner,expert,5,Microsoft SQL Server,AWS,Google Cloud;AWS;Azure,Google Cloud;Azure,Google Cloud,Google Cloud;AWS;Azure,On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-09-04 21:17:04,dbarnsdale71@e-recht24.de,French Polynesia,PF,Mathematician,proficient,beginner,competent,beginner,beginner,proficient,none,expert,proficient,proficient,beginner,5,Amazon Redshift,AWS,Google Cloud;Azure,Google Cloud;Azure,Azure,On-premise,Google Cloud;On-premise;Azure
ANALYTICS SURVEY,2020-11-22 06:56:45,rgass72@answers.com,Bolivia,BO,Statistician,proficient,proficient,none,beginner,proficient,expert,expert,proficient,beginner,beginner,none,2,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Google Cloud,Google Cloud;AWS,Google Cloud;AWS,"Google Cloud;On-premise,AWS",Google Cloud,AWS;Azure
ANALYTICS SURVEY JAN-21,2020-07-19 08:41:52,mduxbury73@time.com,Czech Republic,CZ,Mathematician,proficient,beginner,none,proficient,proficient,none,beginner,none,none,expert,beginner,3,Amazon Redshift,AWS,AWS,AWS,Azure,On-premise;Azure,Google Cloud;On-premise;Azure
ANALYTICS SURVEY FEB-21,2020-07-18 17:34:22,lshilstone74@cmu.edu,China,CN,Statistician,competent,expert,none,beginner,beginner,expert,proficient,proficient,none,competent,competent,1,Microsoft SQL Server,Azure,Google Cloud,Google Cloud,AWS;Azure,"Google Cloud;On-premise,AWS",On-premise;Azure
ANALYTICS SURVEY,2020-08-06 16:20:15,erushman75@123-reg.co.uk,Russia,RU,Data Engineer,competent,expert,proficient,proficient,beginner,expert,beginner,proficient,proficient,proficient,competent,4,Amazon Redshift,Azure,Google Cloud,Google Cloud;AWS;Azure,Google Cloud,On-premise,AWS
ANALYTICS SURVEY,2020-02-25 15:08:40,cmadgewick76@hatena.ne.jp,American Samoa,AS,Citizen Data Scientist,expert,expert,none,none,competent,none,proficient,none,competent,competent,competent,1,Oracle Database,Azure,AWS,AWS Azure,AWS;Azure,Google Cloud,Google Cloud;On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-10-20 08:25:48,jgreendale77@simplemachines.org,Japan,JP,Data Engineer,none,none,beginner,expert,none,beginner,expert,none,proficient,proficient,competent,2,Microsoft SQL Server,On-premise,Google Cloud,AWS Azure,AWS;Azure,Azure,Google Cloud
ANALYTICS SURVEY,2020-09-11 00:22:14,lmatuszkiewicz78@cbc.ca,Nicaragua,NI,Data Engineer,competent,beginner,expert,competent,competent,none,expert,none,competent,proficient,competent,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,On-premise,AWS,Google Cloud;Azure,Google Cloud,On-premise,Google Cloud;AWS;Azure
ANALYTICS SURVEY RETAIL,2020-03-11 07:14:11,rbrammer79@cdc.gov,Indonesia,ID,Statistician,competent,beginner,none,beginner,none,proficient,expert,expert,expert,beginner,expert,1,Teradata,Google Cloud,Google Cloud;AWS;Azure,Azure,Google Cloud;On-premise;Azure,AWS;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FEB-21,2020-05-09 14:59:33,ebalderson7a@dion.ne.jp,France,FR,Statistician,expert,expert,beginner,beginner,expert,expert,expert,beginner,beginner,expert,none,2,Amazon Redshift,Google Cloud,Google Cloud;Azure,Google Cloud;AWS,On-premise;AWS,On-premise;AWS,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY,2020-07-20 07:43:33,mkeilloh7b@bandcamp.com,Panama,PA,Mathematician,expert,competent,proficient,proficient,competent,none,proficient,competent,competent,competent,none,1,Microsoft SQL Server,On-premise,Google Cloud;Azure,Google Cloud;Azure,AWS;Azure,On-premise;AWS,Google Cloud;AWS;Azure
ANALYTICS SURVEY FEB-21,2020-03-27 06:30:38,sroscamps7c@marketwatch.com,China,CN,Statistician,proficient,none,expert,beginner,proficient,beginner,expert,expert,expert,none,proficient,5,Amazon Redshift;Teradata,Azure,AWS,Google Cloud;AWS,"Google Cloud;On-premise,AWS","Google Cloud;On-premise,AWS",AWS
ANALYTICS SURVEY FEB-21,2020-01-25 18:02:47,epecey7d@reference.com,Kosovo,XK,Data Engineer,expert,none,expert,expert,competent,competent,none,expert,proficient,expert,beginner,1,Amazon Redshift,Google Cloud,AWS;Azure,Azure,Google Cloud;On-premise;Azure,Azure,On-premise
ANALYTICS SURVEY JAN-21,2020-03-02 09:48:58,jmacilory7e@51.la,Argentina,AR,Statistician,none,none,proficient,beginner,beginner,beginner,expert,competent,proficient,expert,proficient,5,Oracle Database,Azure,AWS,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS",Google Cloud,Google Cloud
ANALYTICS SURVEY RETAIL,2020-08-22 20:46:23,sfentem7f@constantcontact.com,Mongolia,MN,Data Engineer,competent,none,none,competent,none,beginner,none,proficient,expert,competent,beginner,2,Teradata,Google Cloud,Google Cloud;AWS,Google Cloud;AWS,"Google Cloud;On-premise,AWS",AWS;Azure,On-premise;Azure
ANALYTICS SURVEY JAN-21,2020-10-26 13:06:19,tbourdas7g@pagesperso-orange.fr,China,CN,Citizen Data Scientist,expert,none,none,none,beginner,none,expert,beginner,competent,none,proficient,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud;AWS,Azure,On-premise;Azure,On-premise;AWS,Google Cloud;AWS;Azure
ANALYTICS SURVEY FSI,2020-09-29 21:25:56,csaffle7h@facebook.com,China,CN,Statistician,proficient,expert,expert,none,competent,proficient,none,competent,beginner,expert,beginner,2,Oracle Database,Google Cloud,Azure,Azure,AWS,On-premise;AWS,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY JAN-21,2020-06-22 09:30:33,djuhruke7i@feedburner.com,Kazakhstan,KZ,Statistician,expert,expert,proficient,beginner,expert,beginner,competent,proficient,expert,expert,beginner,3,Microsoft SQL Server,On-premise,AWS,Google Cloud,On-premise;AWS,AWS,AWS;Azure
ANALYTICS SURVEY,2020-09-13 13:52:27,nbonicelli7j@china.com.cn,Peru,PE,Statistician,none,none,expert,expert,beginner,expert,expert,proficient,proficient,none,competent,3,Microsoft SQL Server,AWS,Google Cloud;AWS,Google Cloud,Google Cloud;On-premise;Azure,Google Cloud;On-premise;Azure,AWS;Azure
ANALYTICS SURVEY RETAIL,2020-07-04 02:28:57,bpentony7k@businessweek.com,Panama,PA,Physicist,beginner,competent,competent,competent,beginner,competent,proficient,proficient,expert,beginner,none,3,Google Cloud BigQuery,AWS,Google Cloud;AWS,AWS Azure,AWS;Azure,On-premise;Azure,Google Cloud
ANALYTICS SURVEY JAN-21,2020-05-31 20:30:06,gbaytrop7l@ocn.ne.jp,Peru,PE,Data Analyst,proficient,beginner,expert,expert,none,competent,competent,none,expert,proficient,proficient,3,Amazon Redshift;Google Cloud BigQuery;Oracle Database,Azure,Google Cloud;AWS,Google Cloud,Google Cloud,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS"
ANALYTICS SURVEY FEB-21,2020-04-15 03:14:18,dferries7m@hatena.ne.jp,Canada,CA,Statistician,competent,beginner,expert,beginner,competent,beginner,beginner,expert,beginner,beginner,competent,5,Amazon Redshift,On-premise,Google Cloud;AWS,Google Cloud,AWS;Azure,On-premise;AWS,Azure
ANALYTICS SURVEY FSI,2020-04-23 21:49:21,epenquet7n@cpanel.net,Czech Republic,CZ,Data Analyst,none,none,expert,expert,beginner,proficient,proficient,expert,proficient,expert,expert,3,Amazon Redshift;Teradata,Google Cloud,Google Cloud;AWS,Google Cloud;AWS;Azure,On-premise;AWS,AWS;Azure,AWS
ANALYTICS SURVEY FEB-21,2020-01-17 15:59:39,lchupin7o@sbwire.com,Tajikistan,TJ,Physicist,competent,expert,proficient,none,proficient,beginner,proficient,none,competent,beginner,beginner,1,Google Cloud BigQuery,AWS,Google Cloud,Google Cloud;AWS;Azure,"Google Cloud;On-premise,AWS",Google Cloud;On-premise;Azure,AWS
ANALYTICS SURVEY JAN-21,2020-12-03 07:18:38,dblackader7p@webs.com,Albania,AL,Physicist,none,expert,expert,none,competent,beginner,proficient,competent,proficient,none,proficient,2,Google Cloud BigQuery,AWS,Google Cloud,Google Cloud;AWS;Azure,On-premise;Azure,AWS,On-premise;AWS
